6054,Children's Family Services,Food Costs,1/1/2015,medavakkam,1900
4272,Children's Education & Skills,Travelling Expenses,1/2/2015,medavakkam,1385
5429,Assurance,Pool Transport Charges,1/2/2015,medavakkam,1800
5402,Children's Family Services,Equipment and Materials Purcha,1/2/2015,pallikarnai,10687
4658,Children's Family Services,Clothing - Protective Clothing,1/3/2015,sipcot,12400
4570,Children's Family Services,Stationery,1/3/2015,pallikarnai,14990
7057,Children's Family Services,Food Costs,1/3/2015,sipcot,1859
5899,Children's Service DSG,Training,1/3/2015,sipcot,17500
4181,Children's Family Services,Stationery,1/4/2015,karapakkam,1600
6123,Children's Family Services,Other Services,1/4/2015,sipcot,4587
3124,Children's Family Services,Postage,1/4/2015,medavakkam,5400
4144,Children's Family Services,Food Costs,1/4/2015,pallikarnai,12777
5279,Children's Family Services,Travelling Expenses,1/4/2015,sipcot,2000
6709,Children's Family Services,Other Transfer Payments to Soc,1/5/2015,karapakkam,600
4648,Children's Education & Skills,Travelling Expenses,1/5/2015,karapakkam,1385
4749,Children's Family Services,Building Repairs & Maintenance,1/5/2015,medavakkam,1906
7098,Children's Family Services,Miscellaneous Expenses,1/5/2015,karapakkam,15390
5064,Streetscene,Vehicle Running Costs,1/6/2015,karapakkam,20250
5105,Children's Family Services,Equipment and Materials Purcha,1/6/2015,medavakkam,38277
3042,Children's Family Services,Equipment and Materials Purcha,1/6/2015,medavakkam,1584
6939,Streetscene,Equipment and Materials Purcha,1/6/2015,karapakkam,2000
4891,Children's Family Services,Other Services,1/7/2015,pallikarnai,700
5193,Children's Family Services,Equipment and Materials Purcha,1/7/2015,medavakkam,25000
4528,Streetscene,Vehicle Running Costs,1/8/2015,karapakkam,22750
6982,Children's Family Services,Other Transfer Payments to Soc,1/9/2015,karapakkam,2763
7023,Children's Family Services,Postage,1/9/2015,medavakkam,5400
6532,Children's Family Services,Other Services,1/9/2015,sipcot,5990
4964,Children's Family Services,Miscellaneous Expenses,1/10/2015,pallikarnai,3100
5814,Children's Family Services,Publications,1/11/2015,sipcot,15660
6314,Children's Service DSG,Equipment and Materials Purcha,1/11/2015,karapakkam,1699
6764,Children's Family Services,Miscellaneous Expenses,1/11/2015,pallikarnai,9360
5725,Children's Service DSG,Equipment and Materials Purcha,1/11/2015,sipcot,20500
6754,Children's Family Services,Miscellaneous Expenses,1/11/2015,pallikarnai,3000
5633,Children's Education & Skills,Travelling Expenses,1/12/2015,medavakkam,210
4487,Children's Family Services,Food Costs,1/12/2015,sipcot,7125
6811,Children's Family Services,Equipment and Materials Purcha,1/12/2015,sipcot,788
5315,Children's Family Services,Food Costs,1/12/2015,sipcot,1204
7191,Children's Family Services,Equipment and Materials Purcha,1/13/2015,karapakkam,12600
6203,Children's Family Services,Equipment and Materials Purcha,1/13/2015,pallikarnai,421
4991,Streetscene,Equipment and Materials Purcha,1/13/2015,pallikarnai,249
4269,Children's Education & Skills,Travelling Expenses,1/13/2015,karapakkam,1704
6010,Children's Family Services,Travelling Expenses,1/14/2015,pallikarnai,4000
5564,Children's Family Services,Books-CDs-Audio-Video,1/14/2015,medavakkam,495
7462,Children's Family Services,Travelling Expenses,1/15/2015,medavakkam,2000
7219,Children's Family Services,Travelling Expenses,1/15/2015,medavakkam,5020
7099,Children's Service DSG,Equipment and Materials Purcha,1/15/2015,sipcot,4757
6318,Children's Family Services,Other Services,1/16/2015,medavakkam,3822
6888,Children's Family Services,Equipment and Materials Purcha,1/16/2015,medavakkam,1235
5152,Children's Family Services,Other Transfer Payments to Soc,1/17/2015,medavakkam,5500
4783,Children's Family Services,Equipment and Materials Purcha,1/17/2015,pallikarnai,7000
5627,Children's Family Services,Miscellaneous Expenses,1/17/2015,sipcot,20131
